stateName,cityName,venueCount
Alabama,"Mobile, AL",1
Alabama,"Montgomery, AL",1
Alabama,"Auburn, AL",1
Alaska,"Fairbanks, AK",1
Arizona,"Show Low, AZ",1
Arizona,"Sedona, AZ",1
Arizona,"Prescott, AZ",1
Arizona,"Flagstaff, AZ",1
Arizona,"Glendale, AZ",1
Arizona,"Prescott Valley, AZ",1
Arizona,"Tempe, AZ",1
Arizona,"Williams, AZ",1
Arizona,"Lake Havasu City, AZ",1
Arizona,"Cave Creek, AZ",1
Arizona,"Chandler, AZ",1
Arizona,"Scottsdale, AZ",3
Arizona,"Phoenix, AZ",4
Arkansas,"Bentonville, AR",1
Arkansas,"Fort Smith, AR",1
Arkansas,"Jonesboro, AR",1
Arkansas,"Cabot, AR",1
California,"Pleasant Hill, CA",1
California,"Marina Del Rey, CA",1
California,"Redwood City, CA",1
California,"Hermosa Beach, CA",1
California,"Brentwood, CA",1
California,"Rancho Cucamonga, CA",1
California,"Lompoc, CA",1
California,"Aliso Viejo, CA",1
California,"El Segundo, CA",1
California,"Huntington Beach, CA",1
California,"Tracy, CA",1
California,"Santa Cruz, CA",1
California,"Vallejo, CA",1
California,"Rohnert Park, CA",1
California,"Alameda, CA",1
California,"Moorpark, CA",1
California,"Solana Beach, CA",1
California,"Pasadena, CA",1
California,"Pomona, CA",1
California,"Ventura, CA",1
California,"Lake Forest, CA",1
California,"Upland, CA",1
California,"Canoga Park, CA",1
California,"Lakeside, CA",1
California,"Santa Maria, CA",1
California,"San Jose, CA",1
California,"Chatsworth, CA",1
California,"Los Angeles, CA",1
California,"Redondo Beach, CA",1
California,"Menifee, CA",1
California,"Dinuba, CA",1
California,"Costa Mesa, CA",1
California,"Hollister, CA",1
California,"Petaluma, CA",1
California,"Venice, CA",1
California,"Lathrop, CA",1
California,"Danville, CA",1
California,"Fresno, CA",1
California,"Bakersfield, CA",1
California,"Studio City, CA",1
California,"Laguna Niguel, CA",1
California,"Fullerton, CA",1
California,"Thousand Oaks, CA",2
California,"Palm Desert, CA",2
California,"Modesto, CA",2
