orgName,venueName,address,cityName
Ak Diamonds,Ak Diamonds__nan,Old South Rd,"Nantucket, MA"
Baldinelli Pizza,Baldinelli Pizza__nan,12326 W 143rd St,"Homer Glen, IL"
Bertucci's,Bertucci's__nan,2847 State Route 35,"Hazlet, NJ"
Country Bagel Bakery,Country Bagel Bakery__nan,145 E Gay St,"West Chester, PA"
Five Below,Five Below__nan,Ulster Ave,"Kingston, US"
Fresh Pizzeria,Fresh Pizzeria__nan,807 Rockville Pike,"Rockville, US"
La Hacienda Real,La Hacienda Real__nan,3960 Commercial St S E,"Salem, OR"
Masago,Masago__nan,39 Broad St,"Morristown, NJ"
Milt's Pizza Place Llc,Milt's Pizza Place Llc__nan,8122 Guide Meridian Rd,"Lynden, WA"
Papa John's Pizza,Papa John's Pizza__nan,400 Us 130,"E Windsor, NJ"
Pizza City,Pizza City__nan,7408 Windsor Mill Rd,"Windsor Mill, MD"
San Biagio's Pizza,San Biagio's Pizza__nan,1263 7th St,"Upland, CA"
Sir Pizza,Sir Pizza__nan,Madison St,"Madison, TN"
Two Brothers Deli,Two Brothers Deli__nan,1424 Miner St,"Idaho Springs, CO"
Valley Lahvosh Baking,Valley Lahvosh Baking__nan,502 M St,"Fresno, CA"
Villa Rose Pizza,Villa Rose Pizza__nan,1114 N State Road 7,"Broward County, FL"
